,Name,Email,Password,Suggestion,Analysis
74,Mohit,Abc@gmail.com,5643,walked in and the place smelled like an old grease trap and only 2 others there eating.,0
75,Rohit,Abc@gmail.com,5643,The turkey and roast beef were bland.,0
76,Nitin,Abc@gmail.com,5643,This place has it!,1
77,Nitesh,Abc@gmail.com,5643,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
78,Satvik,Abc@gmail.com,5643,I love the Pho and the spring rolls oh so yummy you have to try.,1
79,Aashish,Abc@gmail.com,5643,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
80,Saumya,Abc@gmail.com,5643,All I have to say is the food was amazing!!!,1
81,Kuldeep,Abc@gmail.com,5643,Omelets are to die for!,0
82,Sandeep,Abc@gmail.com,5643,Everything was fresh and delicious!,1
83,Haris,Abc@gmail.com,5643,"In summary, this was a largely disappointing dining experience.",0
84,Akansha,Abc@gmail.com,5643,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
85,Prashant,Abc@gmail.com,5643,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0
86,Chaitnya,Abc@gmail.com,5643,Best breakfast buffet!!!,1
87,Nishant,Abc@gmail.com,5643,Restaurant is always full but never a wait.,0
88,Mohnish,Abc@gmail.com,5643,DELICIOUS!!,0
